COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000020,三重區,65000020-034,仁義里,28,16,12,24,15,9,4,1,3,1380,111Y12M
65000,新北市,65000020,三重區,65000020-035,光榮里,10,5,5,2,0,2,8,5,3,1404,111Y12M
65000,新北市,65000020,三重區,65000020-036,光輝里,11,6,5,10,6,4,1,0,1,1476,111Y12M
65000,新北市,65000020,三重區,65000020-037,福星里,9,6,3,4,3,1,5,3,2,1187,111Y12M
65000,新北市,65000020,三重區,65000020-038,福利里,7,1,6,6,1,5,1,0,1,2263,111Y12M
65000,新北市,65000020,三重區,65000020-039,清和里,41,22,19,29,16,13,12,6,6,4009,111Y12M
65000,新北市,65000020,三重區,65000020-040,永興里,6,2,4,3,1,2,3,1,2,1490,111Y12M
65000,新北市,65000020,三重區,65000020-041,中山里,24,9,15,14,5,9,10,4,6,2699,111Y12M
65000,新北市,65000020,三重區,65000020-042,大園里,23,10,13,4,1,3,19,9,10,2800,111Y12M
65000,新北市,65000020,三重區,65000020-043,國隆里,2,1,1,1,0,1,1,1,0,2662,111Y12M
65000,新北市,65000020,三重區,65000020-044,重陽里,28,14,14,27,13,14,1,1,0,3479,111Y12M
65000,新北市,65000020,三重區,65000020-045,民生里,28,5,23,19,4,15,9,1,8,4312,111Y12M
65000,新北市,65000020,三重區,65000020-046,重新里,14,8,6,14,8,6,0,0,0,1501,111Y12M
65000,新北市,65000020,三重區,65000020-047,正德里,9,4,5,2,0,2,7,4,3,1105,111Y12M
65000,新北市,65000020,三重區,65000020-048,正義里,7,3,4,5,3,2,2,0,2,1815,111Y12M
65000,新北市,65000020,三重區,65000020-049,正安里,0,0,0,0,0,0,0,0,0,0,111Y12M
65000,新北市,65000020,三重區,65000020-050,自強里,9,3,6,7,1,6,2,2,0,1822,111Y12M
65000,新北市,65000020,三重區,65000020-051,文化里,15,4,11,7,1,6,8,3,5,2202,111Y12M
65000,新北市,65000020,三重區,65000020-052,中央里,12,3,9,5,1,4,7,2,5,1915,111Y12M
65000,新北市,65000020,三重區,65000020-053,雙園里,5,2,3,5,2,3,0,0,0,941,111Y12M
65000,新北市,65000020,三重區,65000020-054,錦通里,6,1,5,4,1,3,2,0,2,1421,111Y12M
65000,新北市,65000020,三重區,65000020-055,錦安里,16,9,7,9,6,3,7,3,4,1777,111Y12M
65000,新北市,65000020,三重區,65000020-056,長安里,13,3,10,4,1,3,9,2,7,2079,111Y12M
65000,新北市,65000020,三重區,65000020-057,光華里,16,4,12,10,2,8,6,2,4,2298,111Y12M
65000,新北市,65000020,三重區,65000020-058,長生里,5,2,3,0,0,0,5,2,3,882,111Y12M
65000,新北市,65000020,三重區,65000020-059,開元里,14,6,8,10,4,6,4,2,2,1643,111Y12M
65000,新北市,65000020,三重區,65000020-060,大德里,20,12,8,1,0,1,19,12,7,815,111Y12M
65000,新北市,65000020,三重區,65000020-061,長元里,16,7,9,16,7,9,0,0,0,2432,111Y12M
65000,新北市,65000020,三重區,65000020-062,長江里,6,3,3,4,3,1,2,0,2,1977,111Y12M
65000,新北市,65000020,三重區,65000020-063,長泰里,11,6,5,8,3,5,3,3,0,2190,111Y12M
65000,新北市,65000020,三重區,65000020-064,長福里,10,3,7,8,3,5,2,0,2,1573,111Y12M
65000,新北市,65000020,三重區,65000020-065,介壽里,12,5,7,8,4,4,4,1,3,1156,111Y12M
65000,新北市,65000020,三重區,65000020-066,萬壽里,13,7,6,3,1,2,10,6,4,1970,111Y12M
65000,新北市,65000020,三重區,65000020-067,錦江里,8,2,6,8,2,6,0,0,0,2311,111Y12M
65000,新北市,65000020,三重區,65000020-068,龍濱里,20,6,14,19,6,13,1,0,1,3271,111Y12M
65000,新北市,65000020,三重區,65000020-069,龍門里,17,7,10,5,2,3,12,5,7,1895,111Y12M
65000,新北市,65000020,三重區,65000020-070,秀江里,9,4,5,5,3,2,4,1,3,1250,111Y12M
65000,新北市,65000020,三重區,65000020-071,奕壽里,10,6,4,8,5,3,2,1,1,1683,111Y12M
65000,新北市,65000020,三重區,65000020-072,三安里,27,15,12,9,4,5,18,11,7,2603,111Y12M
65000,新北市,65000020,三重區,65000020-073,福安里,19,7,12,11,6,5,8,1,7,2965,111Y12M
65000,新北市,65000020,三重區,65000020-074,信安里,10,2,8,4,0,4,6,2,4,2034,111Y12M
65000,新北市,65000020,三重區,65000020-075,安慶里,18,6,12,13,4,9,5,2,3,2034,111Y12M
65000,新北市,65000020,三重區,65000020-076,幸福里,42,22,20,24,11,13,18,11,7,4574,111Y12M
65000,新北市,65000020,三重區,65000020-077,六合里,23,9,14,11,3,8,12,6,6,3777,111Y12M
65000,新北市,65000020,三重區,65000020-078,六福里,55,20,35,41,15,26,14,5,9,5839,111Y12M
65000,新北市,65000020,三重區,65000020-079,順德里,24,9,15,17,7,10,7,2,5,2221,111Y12M
65000,新北市,65000020,三重區,65000020-080,承德里,9,7,2,0,0,0,9,7,2,1767,111Y12M
65000,新北市,65000020,三重區,65000020-081,瑞德里,11,5,6,6,2,4,5,3,2,2446,111Y12M
65000,新北市,65000020,三重區,65000020-082,崇德里,32,14,18,22,11,11,10,3,7,3919,111Y12M
65000,新北市,65000020,三重區,65000020-083,厚德里,10,5,5,10,5,5,0,0,0,3558,111Y12M
65000,新北市,65000020,三重區,65000020-084,維德里,26,11,15,9,0,9,17,11,6,2869,111Y12M
65000,新北市,65000020,三重區,65000020-085,尚德里,11,2,9,1,0,1,10,2,8,3042,111Y12M
65000,新北市,65000020,三重區,65000020-086,培德里,21,14,7,10,6,4,11,8,3,3760,111Y12M
65000,新北市,65000020,三重區,65000020-087,永德里,36,14,22,25,11,14,11,3,8,4929,111Y12M
65000,新北市,65000020,三重區,65000020-088,永盛里,6,2,4,5,2,3,1,0,1,3263,111Y12M
65000,新北市,65000020,三重區,65000020-089,永福里,48,21,27,36,15,21,12,6,6,5313,111Y12M
65000,新北市,65000020,三重區,65000020-090,永清里,44,19,25,28,14,14,16,5,11,5409,111Y12M
65000,新北市,65000020,三重區,65000020-091,永安里,16,3,13,2,0,2,14,3,11,4177,111Y12M
65000,新北市,65000020,三重區,65000020-092,永煇里,21,9,12,17,8,9,4,1,3,2447,111Y12M
65000,新北市,65000020,三重區,65000020-093,溪美里,54,29,25,36,22,14,18,7,11,8915,111Y12M
65000,新北市,65000020,三重區,65000020-094,福隆里,39,15,24,25,10,15,14,5,9,4561,111Y12M
65000,新北市,65000020,三重區,65000020-095,五常里,31,7,24,23,6,17,8,1,7,5347,111Y12M
65000,新北市,65000020,三重區,65000020-096,五福里,31,5,26,14,3,11,17,2,15,3948,111Y12M
65000,新北市,65000020,三重區,65000020-097,仁忠里,35,22,13,18,11,7,17,11,6,3215,111Y12M
65000,新北市,65000020,三重區,65000020-098,慈福里,10,6,4,6,4,2,4,2,2,2246,111Y12M
65000,新北市,65000020,三重區,65000020-099,慈生里,6,3,3,4,2,2,2,1,1,2202,111Y12M
65000,新北市,65000020,三重區,65000020-100,慈惠里,37,20,17,24,14,10,13,6,7,2213,111Y12M
